#submitted_id	updated_id	status
FBgn0000556	FBgn0284245	current
FBgn0000257	FBgn0000257	current
FBgn0003082	FBgn0003082	current
FBgn0000229	FBgn0000229	current
FBgn0000212	FBgn0000212	current
FBgn0001085	FBgn0001085	current
FBgn0003009	FBgn0003009	current
FBgn0003187	FBgn0003187	current
FBgn0001230	FBgn0001230	current
FBgn0002643	FBgn0002643	current
FBgn0001220	FBgn0001220	current
FBgn0001291	FBgn0001291	current
FBgn0000363	FBgn0263995	current
FBgn0001138	FBgn0001138	current
FBgn0001612	FBgn0001612	current
FBgn0001258	FBgn0001258	current
FBgn0002631	FBgn0002631	current
FBgn0000047	FBgn0000047	current
FBgn0001206	FBgn0001206	current
FBgn0001297	FBgn0001297	current
FBgn0002783	FBgn0002783	current
FBgn0003036	FBgn0285944	current
FBgn0000097	FBgn0000097	current
FBgn0000042	FBgn0000042	current
FBgn0001120	FBgn0001120	current
FBgn0003090	FBgn0003090	current
FBgn0000721	FBgn0000721	current
FBgn0003141	FBgn0003141	current
FBgn0000504	FBgn0000504	current
FBgn0002970	FBgn0085424	current
FBgn0001309	FBgn0266557	current
FBgn0000358	FBgn0000358	current
FBgn0002716	FBgn0002716	current
FBgn0001990	FBgn0001990	current
FBgn0001991	FBgn0001991	current
FBgn0001341	FBgn0001341	current
FBgn0001308	FBgn0001308	current
FBgn0000071	FBgn0000071	current
FBgn0000206	FBgn0000206	current
FBgn0002569	FBgn0002569	current
FBgn0000014	FBgn0000014	current
FBgn0002948	FBgn0002948	current
FBgn0000077	FBgn0000077	current
FBgn0002922	FBgn0002922	current
FBgn0003206	FBgn0003206	current
FBgn0003193	FBgn0265597	current
FBgn0003193	FBgn0250862	current
FBgn0001301	FBgn0001301	current
FBgn0002069	FBgn0002069	current
FBgn0000330	FBgn0000330	current
FBgn0001122	FBgn0001122	current
FBgn0003118	FBgn0003118	current
FBgn0003175	FBgn0003175	current
FBgn0000150	FBgn0000150	current
FBgn0001992	FBgn0001992	current
FBgn0003028	FBgn0003028	current
FBgn0003022	FBgn0266420	current
FBgn0001105	FBgn0001105	current
FBgn0000633	FBgn0000633	current
FBgn0003023	FBgn0003023	current
FBgn0000449	FBgn0000449	current
FBgn0001247	FBgn0001247	current
FBgn0000497	FBgn0284247	current
FBgn0000052	FBgn0000052	current
FBgn0001320	FBgn0001320	current
FBgn0002526	FBgn0002526	current
FBgn0001337	FBgn0266572	current
FBgn0002906	FBgn0002906	current
FBgn0001560	FBgn0261675	split
FBgn0001560	FBgn0261624	split
FBgn0000273	FBgn0000273	current
FBgn0000382	FBgn0000382	current
FBgn0000406	FBgn0000406	current
FBgn0000416	FBgn0000416	current
FBgn0000165	FBgn0283437	current
FBgn0001078	FBgn0001078	current
FBgn0000246	FBgn0000246	current
FBgn0002741	FBgn0264695	current
FBgn0000011	FBgn0264442	current
FBgn0000482	FBgn0000482	current
FBgn0001259	FBgn0001259	current
FBgn0001179	FBgn0001179	current
FBgn0001225	FBgn0001225	current
FBgn0000527	FBgn0000527	current
FBgn0002607	FBgn0285950	current
FBgn0001205	FBgn0263782	current
FBgn0003117	FBgn0003117	current
FBgn0000061	FBgn0000061	current
FBgn0001981	FBgn0001981	current
FBgn0000410	FBgn0262029	current
FBgn0002629	FBgn0002629	current
FBgn0003134	FBgn0003134	current
FBgn0000473	FBgn0000473	current
FBgn0000140	FBgn0000140	current
FBgn0001316	FBgn0001316	current
FBgn0002937	FBgn0002937	current
FBgn0000078	FBgn0000078	current
FBgn0000360	FBgn0000360	current
FBgn0000259	FBgn0000259	current
FBgn0002842	FBgn0002842	current
FBgn0003149	FBgn0003149	current
FBgn0000253	FBgn0000253	current
FBgn0000591	FBgn0000591	current
FBgn0000152	FBgn0000152	current
FBgn0001203	FBgn0263220	current
FBgn0003042	FBgn0003042	current
FBgn0000119	FBgn0000119	current
FBgn0001128	FBgn0001128	current
FBgn0000317	FBgn0000317	current
FBgn0003013	FBgn0261885	current
FBgn0002622	FBgn0002622	current
FBgn0000221	FBgn0000221	current
FBgn0000278	FBgn0000278	current
FBgn0000541	FBgn0000541	current
FBgn0003177	FBgn0262614	current
FBgn0001215	FBgn0001215	current
FBgn0000352	FBgn0000352	current
